dormant,in a state of inactivity but awaiting development
alleviate,make (pain) easier to bear
equilibrium,state of being balanced
arrogance,proud; superior manner of behaviour
constrict,make tight or smaller
tonic,something giving strength or energy
adorn,add beauty; decorate
dexterity,skill (esp. in handling)
knit,draw together; unite firmly
edify,instruct; correct morally
enzyme,catalyst
retrospective,Looking back on past
divergence,getting farther apart from a point
sequence,succession connected line of
satiate,satisfy fully
yeoman,man owning small estate; middle-class farmer
moribund,in a dying state; near death
extralegal,outside the law
enigma,something that is puzzling
pilferer,to steal, especially in small quantities"
shallow,little depth; not earnest
reiterate,say or do again several times
encapsulate,enclose in capsule
pluck,pull the feathers off pick (e.g.. flowers)
partisan,one-sided committed to a party biased or prejudiced
cumbersome,burdensome; heavy and awkward to carry
flop,fail/move/fall clumsily
clot,half-solid lump formed from liquid
cryptic,secret with a hidden meaning
coagulation,change to a thick and solid state
philanthropist,one who loves mankind
abhor,to hate; to detest
gallant,brave,behaves well with women"
offhand,Without preparation or forethought
implosion,collapse; bursting inward
ambiguous,doubtful; uncertain
ail,to cause pain, uneasiness, or trouble to."
vivacious,lively high-spirited
dullard,a stupid, insensitive person"
parenthesis,sentence within another one something separated
poseur,a person who attempts to impress by acting unlike himself
cordial,warm and sincere
liberality,free giving; generosity
redeem,get back by payment compensate
steeply,rising or falling sharply
catalyst,substance that causes speeding up
chortle,loud chuckle of pleasure or amusement
gait,a manner of walking, stepping, or running"
reconcile,settle a quarrel restore peace
retrograde,receding
ascend,go or come up
flimsy,lacking solidarity, strength"
conjoin,to join together
dupe,cheat make a fool of
fragrant,sweet-smelling
implicit,implied though; not plainly expressed
aggravate,make worse; irritate
braggart,boastful
disallow,refuse to allow or accept as a correct
meticulous,giving great attention to details
writ,written order
antidote,medicine used against a poison or a disease
reminiscent,suggest something in the past
derivative,unoriginal; obtained from another source
ossified,turned to bone; hardened like bone; Inflexible
legacy,Bequest or inheritance
yarn,tale story fibers for knitting
drowsiness,feeling sleepy half asleep
